NSKV;X;Y;UWI;UWI_WELL_BORE;SKV_NGT;KUST;SIMVOL;STATUS_DATE;EKSPLDATE;INJDATE;BEGDATE;LSTDATE;EKSPLINE;BLOCK1;BLOCK2;COEFF_DISTR;PLAST;OBJ;PLASTGLUB;FOND;NAZNACH;SOST;SPOSOB;PEREV;PLAST1;PLAST2;PLAST3;PLAST4;PLAST5;PLASTALL;VDEBLIQ;VPROCOBV;DEBLIQ;MPROCOBV;DEBOIL;DEBGAS;DEBWAT;PRIEM;WRDAY;SUMDEBLIQ;SUMDEBOIL;SUMDEBGAS;SUMDEBWAT;SUMPRIEM;SUMWRDAY;ACCLIQ;ACCOIL;ACCGAS;ACCWAT;WATINJ;SUMACCLIQ;SUMACCOIL;SUMACCGAS;SUMACCWAT;SUMWATINJ;SUMLSTDATE;ABSPLASTGLUB;MIN_TOP_PERF;ABS_MIN_TOP_PERF;INKL_LAST_UPDATE;ELEVATION;PRIEMGAS;SUMPRIEMGAS;GASINJ;SUMGASINJ;DEBCOND;SUMDEBCOND;ACCCOND;SUMACCCOND;DEBLIQCOND;MPROCOBVCOND;DEBOILCOND;SUMDEBLIQCOND;SUMDEBOILCOND;ACCLIQCOND;ACCOILCOND;SUMACCLIQCOND;SUMACCOILCOND;DEBNGAS;SUMDEBNGAS;ACCNGAS;SUMACCNGAS;LINK;LINK_ELAR
t;0.0;0.0;t;t;t;t;t;0;0;0;0;0;t;t;t;0.0;t;t;0.0;t;t;t;t;t;t;t;t;t;t;t;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;t;t
65P;488678.89;6989160.79;084_65R;084_65R;65Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2725.72;Íåèçâåñòíûé;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2600.75;;;04.12.2000 9:19;124.2;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_65R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_65R&field_name=ÎÒÄÅËÜÍÎÅ
61P;487231.19;6986030.07;084_61R;084_61R;61Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2714.8;Íåèçâåñòíûé;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2590.72;;;04.12.2000 9:19;122.33;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_61R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_61R&field_name=ÎÒÄÅËÜÍÎÅ
54P;488721.61;6979763.5;084_54R;084_54R;54Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2709.0;Íåèçâåñòíûé;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2593.68;;;;115.32;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_54R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_54R&field_name=ÎÒÄÅËÜÍÎÅ
67P;488949.92;6994044.68;084_67R;084_67R;67Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2762.99;Íåèçâåñòíûé;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2643.68;;;;119.31;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_67R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_67R&field_name=ÎÒÄÅËÜÍÎÅ
51P;493893.44;6985717.62;084_51R;084_51R;51Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2718.4;ÍÅÔÒßÍÀß;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2593.4;;;;125.0;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_51R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_51R&field_name=ÎÒÄÅËÜÍÎÅ
53P;493101.76;6977845.75;084_53R;084_53R;53Ð;;124;01.10.2023;30.09.2002 0:00;;;;;Áëîê 32;Áëîê 32;0.0;ÁÑ12/1;ÁÑ12/1;2687.4;ÍÅÔÒßÍÀß;Ïîèñêîâàÿ;Â êîíñåðâàöèè;ôîíò;ðàáîòàåò;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2570.96;;;;116.44;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_53R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_53R&field_name=ÎÒÄÅËÜÍÎÅ
63P;493068.61;6980337.42;084_63R;084_63R;63Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2709.8;Íåèçâåñòíûé;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2588.76;;;04.12.2000 9:19;120.77;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_63R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_63R&field_name=ÎÒÄÅËÜÍÎÅ
66P;494204.15;6994039.03;084_66R;084_66R;66Ð;;34;01.10.2023;;;;;;;;0.0;ÁÑ12/1;ÁÑ12/1;2728.89;Íåèçâåñòíûé;Èíôîðìàöèÿ îòñóòñòâóåò;Íåèçâåñòíûé;Íåèçâåñòåí;;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2606.15;;;;122.74;;;;;;;;;;;;;;;;;;;;;;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_66R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_66R&field_name=ÎÒÄÅËÜÍÎÅ
62P;490223.91;6985124.85;084_62R;084_62R;62Ð;;124;01.10.2023;04.04.2017 0:00;;01.04.2017 0:00;01.11.2017 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;0.0;ÁÑ12/1;ÁÑ12/1;2679.2;ÍÅÔÒßÍÀß;Ðàçâåäî÷íûå;Â êîíñåðâàöèè;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;;1.5;;1.8;;;;;;;;;;;;3343.617;2730.471;0.0;613.146;0.0;3343.617;2730.471;0.0;613.146;0.0;01.11.2017 0:00;2555.9;2669.0;2545.7;;123.3;;;0.0;0.0;;;0.0;0.0;;;;;;3343.617;2730.471;3343.617;2730.471;;;139.001;139.001;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_62R&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_62R&field_name=ÎÒÄÅËÜÍÎÅ
