NSKV;UWI;LAYER;OBJ;KUST;SIMVOL_07;SIMVOL_08;SIMVOL_09;SIMVOL_10;EKSPLDATE;BEGDATE;INJDATE;W_07;W_08;W_09;W_10;D_LIQ_07;D_LIQ_08;D_LIQ_09;D_LIQ_10;INJ_07;INJ_08;INJ_09;INJ_10;P_ZAB_PPD_07;P_ZAB_PPD_08;P_ZAB_PPD_09;P_ZAB_PPD_10;WATINJ1;WATINJ4;ACCLIQ4;ACCOIL4;ACCWAT4;P_ZAB_VNK_07;P_ZAB_VNK_08;P_ZAB_VNK_09;P_ZAB_VNK_10;PP_VNK_07;PP_VNK_08;PP_VNK_09;PP_VNK_10;PP_07;PP_08;PP_09;PP_10;STOP_DATE;STOP_REASON;START_DATE;GTM_DATE;GTM_DESC;FRAC_DATE;WD_07;WD_08;WD_09;WD_10;PBUF_07;PBUF_08;PBUF_09;PBUF_10;PZAB_07;PZAB_08;PZAB_09;PZAB_10;MAX_PZAB;MAX_PZAB_VNK;D_MAX_PZAB;MAX_PP;MAX_PP_VNK;D_MAX_PP;TOP_PERF_LAYER_07;TOP_PERF_LAYER_08;TOP_PERF_LAYER_09;TOP_PERF_LAYER_10;ABS_DEPTH_OWC;LAYER_OIL_DENSITY;WATER_DENSITY;HEFGISOIL;HEFGISOILWAT;HEFGISWAT;HEFGISNYA;D_SHT_07;D_SHT_08;D_SHT_09;D_SHT_10;FREQ_07;FREQ_08;FREQ_09;FREQ_10;D_GAS_07;D_GAS_08;D_GAS_09;D_GAS_10;LAYER_WAT_DYN_VISCOSITY;LAYER_OIL_DYN_VISCOSITY;OIL_VOLUME_FACTOR;POROSITY;LAYER_OIL_COMPRESSIBILITY;WATER_COMPRESSIBILITY;ROCK_COMPRESSIBILITY;BUBBLE_POINT_PRESSURE;INITIAL_LAYER_PRESSURE;GAS_FACTOR;GAS_DENSITY;ATMOSPH_OIL_DENSITY;INJ_WAT_DENSITY;PUMP_DEPTH_07;PUMP_DEPTH_08;PUMP_DEPTH_09;PUMP_DEPTH_10;PUMP_DEPTH_ABS_07;PUMP_DEPTH_ABS_08;PUMP_DEPTH_ABS_09;PUMP_DEPTH_ABS_10
3;;;;1;102;102;102;102;;;;;;;;;;;;441.88;147.52;201.16;167.57;424.37;386.37;409.37;418.37;445883.53;478777.53;2793.64;680.242;2113.398;;;;;;;;;;;;;;;;;;;30.0;31.0;31.0;24.5;155.0;117.0;140.0;149.0;;;;;;;;;;;2557.71;2557.71;2557.71;2557.71;2568;0.794;1.01;;;1.8;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3062.32;3062.32;3062.32;3062.32;2504.03;2504.03;2504.03;2504.03
5;;;;1;103;103;102;102;;;;;;;;;;;;305.0;349.0;286.79;468.5;269.37;386.37;409.37;415.37;578957.745;604196.745;16548.428;13302.917;3245.511;;;;;;;;;;;;;;;;;;;17.0;17.0;16.0;24.5;;117.0;140.0;146.0;;;;;;;;;;;2546.22;2546.22;2546.22;2546.22;2568;0.794;1.01;;;9.2;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;;;;;;;;
1;;;;1;84;84;84;84;;;;74.2;83.2;88.4;79.7;109.0;110.0;105.0;112.0;;;;;;;;;0.0;0.0;317531.84;206323.824;111208.016;20.80610524;23.66334994;25.60186677;24.10397423;;;;;;;;;;;;;;;30.0;30.5;31.0;30.0;23.0;24.0;22.0;23.0;18.54257206;21.35370508;23.2655796;21.81226169;23.90807588;26.19978842;;;;;2544.28;2544.28;2544.28;2544.28;2568;0.794;1.01;-0.71;;;;32.0;32.0;32.0;32.0;;;;;1.217676;0.80019;0.527391;0.984453;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2681.13;2681.13;2681.13;2681.13;2402.8;2402.8;2402.8;2402.8
2;;;;1;84;84;84;84;;;;21.9;20.2;24.7;21.6;41.0;42.0;39.0;35.0;;;;;;;;;0.0;0.0;105346.491;80061.887;25284.604;30.74635466;31.04613177;30.9672645;31.46787399;;;;;;;;;;;;;;;30.0;30.5;31.0;30.0;23.0;24.0;22.0;23.0;28.8845489;29.19245215;29.09207453;29.60750226;29.66887975;30.99621616;;;;;2545.87;2545.87;2545.87;2545.87;2568;0.794;1.01;5.87;;;;;;;;;;;;3.12639;3.272325;2.867295;2.679155;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2787.02;2787.02;2787.02;2787.02;2458.02;2458.02;2458.02;2458.02
23;;;;2;102;102;102;102;;;;;;;;;;;;560.0;620.13;650.13;630.07;269.04;269.04;395.04;394.04;704650.701;762885.701;15934.506;15056.806;877.7;;;;;;;;;;;;;;;;;;;25.0;10.0;31.0;30.0;;;126.0;125.0;;;;;;;;;;;2549.4;2549.4;2549.4;2549.4;2568;0.794;1.01;;;3.6;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3012.38;3012.38;3012.38;3012.38;2497.81;2497.81;2497.81;2497.81
27;;;;2;102;102;102;102;;;;;;;;;;;;550.0;606.23;612.65;585.87;369.04;374.04;395.04;396.04;653588.063;725610.063;30410.422;25924.597;4485.825;;;;;;;;;;;;;;;;;;;30.0;31.0;31.0;30.0;100.0;105.0;126.0;127.0;;;;;;;;;;;2543.03;2543.03;2543.03;2543.03;2568;0.794;1.01;;;6.41;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3480.1;3480.1;3480.1;3480.1;2449.26;2449.26;2449.26;2449.26
31;;;;2;102;102;102;102;;;;;;;;;;;;307.6;366.6;400.52;381.57;374.04;374.04;395.04;396.04;650660.079;696402.079;18836.171;17271.766;1564.405;;;;;;;;;;;;;;;;;;;30.0;31.0;31.0;30.0;105.0;105.0;126.0;127.0;;;;;;;;;;;2547.62;2547.62;2547.62;2547.62;2568;0.794;1.01;;;7.0;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3113.28;3113.28;3113.28;3113.28;2502.92;2502.92;2502.92;2502.92
33;;;;2;102;103;103;102;;;;;;;;;;;;480.3;312.0;388.0;375.12;380.04;374.04;393.04;392.04;437871.882;464817.882;4977.32;790.427;4186.893;;;;;;;;;;;;;;;;;;;7.0;23.0;16.0;24.0;111.0;105.0;124.0;123.0;;;;;;;;;;;2558.38;2558.38;2558.38;2558.38;2568;0.794;1.01;;;3.6;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2707.54;2707.54;2707.54;2707.54;2502.92;2502.92;2502.92;2502.92
34;;;;2;84;84;84;84;;;;25.2;36.8;32.6333;30.4;128.0;122.0;123.0;130.0;;;;;;;;;0.0;0.0;54791.777;36951.758;17840.019;29.33627437;29.94935502;22.02559957;21.50369314;29.69150438;30.37015066;32.38414157;;16.87;17.17;19.32;;;;;;;;30.0;30.5;25.8;30.0;24.5;25.0;23.0;24.0;28.255372;28.83653131;20.92424195;20.40848121;31.06221108;32.1635687;;19.32;32.38414157;;2555.26;2555.26;2555.26;2555.26;2568;0.794;1.01;3.55;-0.34;;;;;;;56.0;56.0;56.0;;4.145637;3.338511;3.587799;3.917718;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3333.0;3333.0;3333.0;3329.0;2416.88;2416.88;2416.88;2414.74
35;;;;2;84;84;84;84;;;;22.7;24.8;17.0;29.2;151.0;150.0;154.0;157.0;;;;;;;;;0.0;0.0;52905.128;38165.259;14739.869;87.72243022;85.66042396;82.22125752;82.13418029;88.30554571;86.25751389;82.78020352;82.75830435;74.93;72.81;69.6;69.16;;;;;;;30.0;30.5;30.9;30.0;25.0;25.0;24.0;24.0;86.71500698;84.6475802;81.22854712;81.10997925;86.79521384;87.80263708;;75.01;88.38554571;;2556.05;2556.05;2556.05;2556.05;2568;0.794;1.01;0.73;1.2;;;;;;;52.0;52.0;54.0;54.0;5.053998;4.884117;5.534469;4.812921;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3604.52;3604.52;3604.52;3604.52;2409.34;2409.34;2409.34;2409.34
